<hgeokg/resource/4316345593>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266774911>
<hgeokg/resource/2722857810>	<Point_transport-Adjacent-Point_pois>	<hgeokg/resource/5341456858>
<hgeokg/resource/266170756>	<hgeokg/schema/addrPostcode>	addrPostcode-10036
<hgeokg/resource/6501259685>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/823979088>
<hgeokg/resource/1426276530>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Bank>
<hgeokg/resource/266170545>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170800>
<hgeokg/resource/569345542>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/137716320>
<hgeokg/resource/817036020>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/226041025>
<hgeokg/resource/46695596>	<Line_railway-Adjacent-Line_railway>	<hgeokg/resource/823979089>
<hgeokg/resource/3974095815>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/42496352>
<hgeokg/resource/266170825>	<Polygon_buildings-Adjacent-Polygon_buildings>	<hgeokg/resource/86121620>
<hgeokg/resource/266149336>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/4213575394>
<hgeokg/resource/484012802>	<hgeokg/schema/railwayTrackRef>	railwayTrackRef-4
<hgeokg/resource/266149332>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2717293822>
<hgeokg/resource/266170536>	<Point_pois-Intersect-Polygon_landuse>	<hgeokg/resource/657134182>
<hgeokg/resource/1753205377>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2717543654>
<hgeokg/resource/163474780>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149325>
<hgeokg/resource/4858838221>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/163474780>
<hgeokg/resource/266170756>	<hgeokg/schema/addrHousenumber>	addrHousenumber-145
<hgeokg/resource/2610440256>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/643414350>
<hgeokg/resource/266149328>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/163474780>
<hgeokg/resource/266170536>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/7139389687>
<hgeokg/resource/1426276530>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/6501259685>
<hgeokg/resource/3922485803>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170759>
<hgeokg/resource/266149298>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149299>
<hgeokg/resource/137716320>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170756>
<hgeokg/resource/1426276530>	<hgeokg/schema/brandWikipedia>	brandWikipedia-en:Chase Bank
<hgeokg/resource/266149338>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/803137436>
<hgeokg/resource/702540318>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266774911>
<hgeokg/resource/2722857810>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149329>
<hgeokg/resource/3679394774>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/PublicTransportPlatform>
<hgeokg/resource/266149338>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/2717293880>
<hgeokg/resource/1752843998>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/3974095816>
<hgeokg/resource/266034056>	<hgeokg/schema/operator>	operator-Marriott International
<hgeokg/resource/266170759>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2676979135>
<hgeokg/resource/266170751>	<Polygon_buildings-Adjacent-Polygon_buildings>	<hgeokg/resource/42496352>
<hgeokg/resource/397795464>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/2717293824>
<hgeokg/resource/5032403221>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149345>
<hgeokg/resource/3576199>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/1752843998>
<hgeokg/resource/258646144>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/397795464>
<hgeokg/resource/266170544>	<hgeokg/schema/operator>	operator-Room Mate Hotels
<hgeokg/resource/569345544>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/477374247>
<hgeokg/resource/5172045822>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149334>
<hgeokg/resource/484012802>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/266149373>
<hgeokg/resource/420494981>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/2774949518>
<hgeokg/resource/682360554>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/643414350>
<hgeokg/resource/2717293824>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/4350615591>
<hgeokg/resource/266149298>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149324>
<hgeokg/resource/702540318>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266034047>
<hgeokg/resource/86121621>	<Polygon_buildings-Contain-Point_pois>	<hgeokg/resource/1752843998>
<hgeokg/resource/569345542>	<hgeokg/schema/sidewalk>	sidewalk-both
<hgeokg/resource/719086606>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/2178743034>
<hgeokg/resource/266774911>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2610440256>
<hgeokg/resource/4757137103>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/3398576793>
<hgeokg/resource/719086615>	<Point_transport-Adjacent-Line_railway>	<hgeokg/resource/5341456177>
<hgeokg/resource/803137436>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/569345543>
<hgeokg/resource/266034046>	<Polygon_landuse-Intersect-Polygon_buildings>	<hgeokg/resource/657134182>
<hgeokg/resource/3974095815>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/86121621>
<hgeokg/resource/86121620>	<Line_railway-Intersect-Polygon_buildings>	<hgeokg/resource/817036020>
<hgeokg/resource/157835453>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266149299>
<hgeokg/resource/266149332>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149336>
<hgeokg/resource/2716231259>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2716231115>
<hgeokg/resource/569345543>	<http://www.w3.org/2000/01/rdf-schema#label>	West 43rd Street
<hgeokg/resource/1426276157>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/702540318>
<hgeokg/resource/4661316591>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170540>
<hgeokg/resource/266149299>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149328>
<hgeokg/resource/258646144>	<hgeokg/schema/buildingMaterial>	buildingMaterial-glass
<hgeokg/resource/157835453>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/2676979157>
<hgeokg/resource/266170545>	<hgeokg/schema/addrHousenumber>	addrHousenumber-109
<hgeokg/resource/266034056>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2716231259>
<hgeokg/resource/566445454>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/819186608>
<hgeokg/resource/266170536>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Point>
<hgeokg/resource/266149302>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/719086606>
<hgeokg/resource/266170755>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/4757137104>
<hgeokg/resource/266149302>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149325>
<hgeokg/resource/266170545>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170760>
<hgeokg/resource/4708892893>	<hgeokg/schema/brandWikidata>	brandWikidata-Q1131810
<hgeokg/resource/3679391773>	<Point_transport-Adjacent-Polygon_buildings>	<hgeokg/resource/819626511>
<hgeokg/resource/702540318>	<http://www.w3.org/2000/01/rdf-schema#label>	Times Square
<hgeokg/resource/823979088>	<Line_railway-Intersect-Point_pois>	<hgeokg/resource/702540318>
<hgeokg/resource/266170835>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/3974095815>
<hgeokg/resource/226041025>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Line>
<hgeokg/resource/525428785>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/266034046>
<hgeokg/resource/823979090>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/266034080>
<hgeokg/resource/702540318>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/86121620>
<hgeokg/resource/86121620>	<Point_pofw-Adjacent-Polygon_buildings>	<hgeokg/resource/357620498>
<hgeokg/resource/266149332>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266034047>
<hgeokg/resource/4213575394>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/3398576793>
<hgeokg/resource/7172247185>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170760>
<hgeokg/resource/266170534>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/420494981>
<hgeokg/resource/813741990>	<Line_railway-Intersect-Line_railway>	<hgeokg/resource/823979090>
<hgeokg/resource/719086606>	<hgeokg/schema/voltage>	voltage-625
<hgeokg/resource/86121620>	<http://www.w3.org/2000/01/rdf-schema#label>	4 Times Square
<hgeokg/resource/7653858222>	<hgeokg/schema/addrHousenumber>	addrHousenumber-229
<hgeokg/resource/357620498>	<Point_pofw-Adjacent-Point_pois>	<hgeokg/resource/266170757>
<hgeokg/resource/42496352>	<Point_pofw-Adjacent-Polygon_buildings>	<hgeokg/resource/357620498>
<hgeokg/resource/3708656757>	<hgeokg/schema/website>	website-https://citibikenyc.com/
<hgeokg/resource/266149332>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266034056>
<hgeokg/resource/266149373>	<hgeokg/schema/startDate>	startDate-1927
<hgeokg/resource/266034050>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/397795464>
<hgeokg/resource/266149299>	<hgeokg/schema/addrHousenumber>	addrHousenumber-222
<hgeokg/resource/226041026>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/2676979135>
<hgeokg/resource/7172247185>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Bar>
<hgeokg/resource/817036020>	<Point_transport-Adjacent-Line_railway>	<hgeokg/resource/3679394774>
<hgeokg/resource/226041026>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/266170534>
<hgeokg/resource/266170540>	<hgeokg/schema/height>	height-12.5
<hgeokg/resource/2178743031>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Shoes>
<hgeokg/resource/2774949526>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/157835453>
<hgeokg/resource/163474780>	<Point_pois-Contain-Point_pois>	<hgeokg/resource/4385240481>
<hgeokg/resource/266149299>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149345>
<hgeokg/resource/266149373>	<hgeokg/schema/nycdoittBin>	nycdoittBin-1024706
<hgeokg/resource/1752822408>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/5671182>
<hgeokg/resource/763650163>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Cafe>
<hgeokg/resource/7172247185>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/5528676228>
<hgeokg/resource/266149329>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2717293865>
<hgeokg/resource/823979090>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/5172045822>
<hgeokg/resource/397795463>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/823979089>
<hgeokg/resource/266149300>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/4350615591>
<hgeokg/resource/266149373>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266149304>
<hgeokg/resource/86121621>	<hgeokg/schema/height>	height-366
<hgeokg/resource/2678650716>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149329>
<hgeokg/resource/266149373>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266149332>
<hgeokg/resource/6262714386>	<hgeokg/schema/website>	website-http://www.hotelmela.com
<hgeokg/resource/5041140405>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149334>
<hgeokg/resource/6133822485>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170764>
<hgeokg/resource/266149334>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266149338>
<hgeokg/resource/258646143>	<Line_railway-Adjacent-Point_pois>	<hgeokg/resource/817036020>
<hgeokg/resource/3679394774>	<Point_transport-Adjacent-Point_pois>	<hgeokg/resource/258646143>
<hgeokg/resource/266034074>	<hgeokg/schema/height>	height-54.4
<hgeokg/resource/1426250385>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/258646144>
<hgeokg/resource/823979090>	<Line_railway-Adjacent-Line_railway>	<hgeokg/resource/803137436>
<hgeokg/resource/2717293824>	<http://www.w3.org/2000/01/rdf-schema#label>	Carmine's
<hgeokg/resource/42496352>	<Point_transport-Adjacent-Polygon_buildings>	<hgeokg/resource/3679396691>
<hgeokg/resource/266149328>	<Point_transport-Adjacent-Point_pois>	<hgeokg/resource/4708888897>
<hgeokg/resource/2716231111>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/819626511>
<hgeokg/resource/525428785>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/157835453>
<hgeokg/resource/569345544>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/6501259685>
<hgeokg/resource/2716231111>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Nightclub>
<hgeokg/resource/266170800>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170540>
<hgeokg/resource/258646143>	<Line_roads-Adjacent-Point_pois>	<hgeokg/resource/167922072>
<hgeokg/resource/266149325>	<Point_pois-Intersect-Point_pois>	<hgeokg/resource/266149328>
<hgeokg/resource/3974095816>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/86121620>
<hgeokg/resource/266149304>	<hgeokg/schema/addrState>	addrState-NY
<hgeokg/resource/266149304>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/5671182>
<hgeokg/resource/4708892893>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Point>
<hgeokg/resource/1753205377>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/3974095815>
<hgeokg/resource/420494981>	<hgeokg/schema/hgv>	hgv-destination
<hgeokg/resource/477374247>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/163474780>
<hgeokg/resource/266034074>	<hgeokg/schema/email>	email-tickets@roundabouttheatre.org
<hgeokg/resource/569345544>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/163629929>
<hgeokg/resource/2717293880>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149302>
<hgeokg/resource/266170534>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170765>
<hgeokg/resource/167922072>	<hgeokg/schema/tigerNameDirectionPrefix>	tigerNameDirectionPrefix-W
<hgeokg/resource/7613305940>	<Point_transport-Adjacent-Line_roads>	<hgeokg/resource/525729008>
<hgeokg/resource/5825512054>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/46695596>
<hgeokg/resource/266149302>	<hgeokg/schema/wheelchair>	wheelchair-yes
<hgeokg/resource/813741990>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/137716320>
<hgeokg/resource/266149325>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149345>
<hgeokg/resource/682360554>	<hgeokg/schema/hgv>	hgv-destination
<hgeokg/resource/4858838221>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2678466841>
<hgeokg/resource/266170540>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/7172247185>
<hgeokg/resource/569345544>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/1426276530>
<hgeokg/resource/258646143>	<hgeokg/schema/operatorWikipedia>	operatorWikipedia-en:New York City Police Department
<hgeokg/resource/266033991>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Point>
<hgeokg/resource/420494981>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/266170751>
<hgeokg/resource/397795464>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/163629929>
<hgeokg/resource/4661316591>	<http://www.w3.org/2000/01/rdf-schema#label>	Cranberry Cafe
<hgeokg/resource/266034074>	<hgeokg/schema/wheelchair>	wheelchair-yes
<hgeokg/resource/819186608>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/86121621>
<hgeokg/resource/823979090>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/2610440256>
<hgeokg/resource/5341456177>	<http://www.w3.org/2000/01/rdf-schema#label>	8th Avenue & West 43rd Street
<hgeokg/resource/3398576793>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/719086615>
<hgeokg/resource/266170825>	<http://www.w3.org/2000/01/rdf-schema#label>	One Times Square
<hgeokg/resource/4708888897>	<Point_transport-Adjacent-Point_pois>	<hgeokg/resource/1751769863>
<hgeokg/resource/226041025>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/1487449793>
<hgeokg/resource/1753205377>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/368051649>
<hgeokg/resource/266034056>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149336>
<hgeokg/resource/157835453>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/397795464>
<hgeokg/resource/569345543>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/266034080>
<hgeokg/resource/3974095815>	<hgeokg/schema/food>	food-yes
<hgeokg/resource/2722857810>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Restaurant>
<hgeokg/resource/163474780>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Point>
<hgeokg/resource/266170764>	<hgeokg/schema/internetAccessFee>	internetAccessFee-no
<hgeokg/resource/397795463>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/157835453>
<hgeokg/resource/682360553>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/643414350>
<hgeokg/resource/5032403221>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2717293880>
<hgeokg/resource/266170825>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/6501259685>
<hgeokg/resource/266034047>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2716231269>
<hgeokg/resource/6501259685>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/702540318>
<hgeokg/resource/4447034701>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/163629929>
<hgeokg/resource/819626511>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266149332>
<hgeokg/resource/266034056>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/BuildingHotel>
<hgeokg/resource/3679396691>	<Point_transport-Adjacent-Line_railway>	<hgeokg/resource/817036020>
<hgeokg/resource/823979090>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/258646144>
<hgeokg/resource/2774949518>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/420494981>
<hgeokg/resource/266149373>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/823979088>
<hgeokg/resource/46695596>	<http://www.w3.org/2000/01/rdf-schema#label>	IRT 42nd Street Line
<hgeokg/resource/525428785>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/1426275725>
<hgeokg/resource/194926851>	<hgeokg/schema/oneway>	oneway-yes
<hgeokg/resource/266774911>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/803137436>
<hgeokg/resource/266149365>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2717293880>
<hgeokg/resource/266149298>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/4213575394>
<hgeokg/resource/803137436>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/4316345593>
<hgeokg/resource/2717293865>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149300>
<hgeokg/resource/719086606>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/2716231259>
<hgeokg/resource/2722857810>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149328>
<hgeokg/resource/719086615>	<Line_roads-Intersect-Line_railway>	<hgeokg/resource/569345543>
<hgeokg/resource/1426275725>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/823979089>
<hgeokg/resource/2178743031>	<hgeokg/schema/website>	website-https://www.skechers.com/
<hgeokg/resource/163631696>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170756>
<hgeokg/resource/266170540>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170534>
<hgeokg/resource/566445454>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/226041026>
<hgeokg/resource/266149334>	<Point_pois-Intersect-Polygon_landuse>	<hgeokg/resource/657134182>
<hgeokg/resource/3974095816>	<Point_pofw-Adjacent-Point_pois>	<hgeokg/resource/357620498>
<hgeokg/resource/2678466842>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/86121620>
<hgeokg/resource/525428785>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/4316345593>
<hgeokg/resource/6501259685>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/823979087>
<hgeokg/resource/823979087>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/477374247>
<hgeokg/resource/1426276157>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/226041025>
<hgeokg/resource/137716320>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170544>
<hgeokg/resource/163474780>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/4757137104>
<hgeokg/resource/2717293824>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149299>
<hgeokg/resource/484012802>	<http://www.w3.org/2000/01/rdf-schema#label>	IRT 42nd Street Line
<hgeokg/resource/525729008>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/266149338>
<hgeokg/resource/657134182>	<Point_pois-Intersect-Polygon_landuse>	<hgeokg/resource/266034056>
<hgeokg/resource/266170766>	<Polygon_landuse-Intersect-Polygon_buildings>	<hgeokg/resource/657134182>
<hgeokg/resource/266149302>	<Point_pois-Intersect-Point_pois>	<hgeokg/resource/266149298>
<hgeokg/resource/819186608>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/226041025>
<hgeokg/resource/1899033653>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/7006780985>
<hgeokg/resource/4316345593>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/258646143>
<hgeokg/resource/2678466842>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/258646144>
<hgeokg/resource/266170544>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170534>
<hgeokg/resource/4708888897>	<Point_transport-Adjacent-Line_railway>	<hgeokg/resource/719086606>
<hgeokg/resource/258646143>	<hgeokg/schema/nycdoittBin>	nycdoittBin-1088995
<hgeokg/resource/2610440256>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/525729008>
<hgeokg/resource/266170540>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170544>
<hgeokg/resource/823979088>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/4447034701>
<hgeokg/resource/2717293824>	<hgeokg/schema/cocktails>	cocktails-yes
<hgeokg/resource/823979090>	<Line_railway-Intersect-Polygon_landuse>	<hgeokg/resource/657134182>
<hgeokg/resource/266149298>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2717293880>
<hgeokg/resource/813741990>	<hgeokg/schema/layer>	layer--2
<hgeokg/resource/3398576793>	<hgeokg/schema/openingHours>	openingHours-Mo-We 06:30-21:00; Th-Sa 06:30-23:30; Su 06:30-21:00
<hgeokg/resource/525729008>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/266034080>
<hgeokg/resource/682360554>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/258646144>
<hgeokg/resource/266149299>	<hgeokg/schema/addrState>	addrState-NY
<hgeokg/resource/719086615>	<Line_railway-Intersect-Polygon_landuse>	<hgeokg/resource/657134182>
<hgeokg/resource/266034080>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/813741990>
<hgeokg/resource/657134182>	<Line_railway-Intersect-Polygon_landuse>	<hgeokg/resource/525428785>
<hgeokg/resource/477374247>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/266170825>
<hgeokg/resource/1426275725>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/397795464>
<hgeokg/resource/1487449793>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/163629929>
<hgeokg/resource/266149304>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/4757137103>
<hgeokg/resource/3679396691>	<Point_transport-Adjacent-Line_railway>	<hgeokg/resource/46695596>
<hgeokg/resource/266034080>	<Point_pois-Intersect-Polygon_buildings>	<hgeokg/resource/266034050>
<hgeokg/resource/682360554>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/2676979135>
<hgeokg/resource/477374247>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/397795464>
<hgeokg/resource/4447034701>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170536>
<hgeokg/resource/226041025>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/1426275725>
<hgeokg/resource/4350615591>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/4858838221>
<hgeokg/resource/1426276157>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/1426275725>
<hgeokg/resource/2774949526>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/4755575515>
<hgeokg/resource/266149338>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Polygon>
<hgeokg/resource/226041025>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/819186608>
<hgeokg/resource/6501259685>	<Point_transport-Adjacent-Point_pois>	<hgeokg/resource/7613305940>
<hgeokg/resource/3974095816>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/226041025>
<hgeokg/resource/2717293824>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/226041026>
<hgeokg/resource/569345542>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/163629929>
<hgeokg/resource/163474780>	<hgeokg/schema/altName>	altName-Marriott Marquis
<hgeokg/resource/7613305940>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Point>
<hgeokg/resource/266170835>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170534>
<hgeokg/resource/5341456177>	<Point_transport-Adjacent-Polygon_landuse>	<hgeokg/resource/657134182>
<hgeokg/resource/194926851>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Secondary>
<hgeokg/resource/5825512054>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/4316345593>
